,TARİH,SAAT,DERS ,SINIF ,ÖĞRETMEN 
,30.03.2026 PAZARTESİ,09.10-09.50,TÜRK DİLİ VE EDEBİYATI,9/B BİL (L),
,30.03.2026 PAZARTESİ,09.10-09.50,TÜRK DİLİ VE EDEBİYATI,9/A MAK ( 5 ),
,30.03.2026 PAZARTESİ,09.10-09.50,TÜRK DİLİ VE EDEBİYATI,9/E MAK     (L),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/A ELK S (1),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/A   ELK    (2),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/B   ELK  ( L ),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/A BİL     (3 ),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/B BİL (4),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/A MAK ( 5 ),
,30.03.2026 PAZARTESİ,10.20-11.00,TÜRK SOSYAL HAYATINDA AİLE,9/E MAK     (6),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/A ELK S (1),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/A   ELK    (2),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/B   ELK  ( L ),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/A BİL     (3 ),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/B BİL (4),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/A MAK ( 5 ),
,31.03.2026 SALI,09.10-09.50,MATEMATİK,9/E MAK     (6),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/A ELK S ( 1),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/A   ELK    (2),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/B   ELK  ( 7 ),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/A BİL     (3 ),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/B BİL (4),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/A MAK ( 5 ),
,31.03.2026 SALI,10.20-11.00,S.DEMOKRASİ VE İNSAN HAKLARI,9/E MAK     (6),
